target,sentence,polarity
選択的夫婦別姓,"私は選択的夫婦別姓には反対です。
旧姓使用が認められていますし、子供のためにも家族が同じ苗字で一つの家族として一体感が保てるからです。「選択的」という言葉に惑わされず、日本の戸籍制度を守りましょう。戸籍制度に綻びができれば、戸籍の乗っ取りや背乗りの危険性があります。",negative
選択的夫婦別姓,"選択的夫婦別姓推進派って、結局
現行法に問題点があるって言う割に、選択的夫婦別姓になっても新しい問題が出てくることを無視してるだけ。
問題をスライドさせてるだけだから、数年程度ではまだまだ指示されない気がしてきた。",negative
選択的夫婦別姓,あなたが、選択的夫婦別姓に反対する理由は何ですか？,neutral
選択的夫婦別姓,党首討論で与野党の違いがはっきりした論点なので、今回の参院選、ひたすらメディアも選択的夫婦別姓制度の導入を進めるか否か、与党に問い続ければいいし、それだけ論点にして選挙すればいいよ。,neutral
選択的夫婦別姓,選択的夫婦別姓のメリットをわかりやすくスレッドにしてくださってます。散々世界から批判されたり勧告されてる夫婦強制同姓という日本にしかない差別的な制度をなくすってメリットしかないと思う。デメリットって差別したい人が差別できなくなる以外にある？,positive
選択的夫婦別姓,正直、選択的夫婦別姓制度は、それを声高に推進しようとする連中が、こうやってあまりに不誠実で身勝手だから、とてもじゃないけど賛成する気にならんのだよ。自分のこと、自分の権利を喚くばっかりで、子供の姓をどうするのかとかおよそ真剣に問題点を考えようとしない姿勢、全く信用におけない。,negative
選択的夫婦別姓,Wikipediaの夫婦別姓のページでは、選択的夫婦別姓に賛成・反対の団体がよくまとまっている。,neutral
選択的夫婦別姓,"正直私自身の法律婚よりも、自分以外の人、これから結婚する人、不本意ながら改姓したけど戻したい人たちのために望んでいるところあるなぁ
選択的夫婦別姓が実現すれば自分の名字を失わずに済む人、取り戻せる人がいると思うと、絶対に実現させなければならないと思う",positive
選択的夫婦別姓,"私は人生の途中で苗字が変わるのが嫌だったから、選択的夫婦別姓に賛成。
親と子どもの姓が違ってしまうって説く反対派のひといるけど、私は、最初から違うなら全く問題ないという考え方。
話し合って姓を決めるなんてただの理想で、私の姓を名乗りたいなんて夫の親に言えないよね、普通",positive
選択的夫婦別姓,"選択的夫婦別姓のメリットは
・姓を理由として結婚しなかった人たちが結婚に踏み切れる
・親子での姓の違いが自然なものとなり、採用でどうこう言われることがなくなる
とかをすぐに思い付くし、デメリットは何かある？ってくらいなのに……",positive
選択的夫婦別姓,そもそも「選択的夫婦別姓が“ないから”結婚できない夫婦」はいても、「選択的夫婦別姓“あるから”結婚できない夫婦」はいないんだよね。それ時点で、この婚姻率低下&少子化の問題を抱える社会には大きなメリットだと思うなぁ,positive
選択的夫婦別姓,"選択的夫婦別姓ってノーリスクでリターンしかないと思ってたけど、別姓にしなかった場合に「同姓にするなんて遅れてる」とか言われることが予測できるのか
なんでわざわざ反対までするのか疑問だったがこれは困ったな",neutral
選択的夫婦別姓,"選択的夫婦別姓の問題点について考えてみたが、戸籍とかその辺の法律改正含むし、大混乱になる可能性秘めてるんだよな。
メリットばっかり言ってるけどデメリットもあると思う。",negative
選択的夫婦別姓,「選択的夫婦別姓」を私が素直に賛成できないのは、それで生まれた子ども自身が「選択するわけではない」から。親の決めた家族の形に従うことになるから。本人達はそれでよくても、周囲がそれに伴う負担を強いられることになる。難色を示し反対意見を述べただけで総攻撃になる様も危険性を感じる。,negative
